action,service,operation_type,risk_level,risk_weight,reason
sagemaker:DescribeHub,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:SimulatePrincipalPolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:DescribeNetworkAcls,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ListUserProfiles,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:AssociateSourceToS3TableIntegration,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
comprehend:ListPiiEntitiesDetectionJobs,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
route53:ListTrafficPolicyInstancesByHostedZone,Route 53,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
sagemaker:DescribeModel,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DeleteModel,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DescribeRouteServers,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:GetDataQualityModel,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:DescribeClusterTracks,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateStoreImageTask,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:ListClusters,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:CreateProductPage,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecs:ListClusters,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteInstanceEventWindow,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DeleteImageUsageReport,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:CreateInstanceEventWindow,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:CreateDBParameterGroup,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:StartResourceScan,CloudFormation,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:ListGroups,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:UpdateProject,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:UpdateCustomModelDeployment,Bedrock,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeReplaceRootVolumeTasks,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DisassociateInstanceEventWindow,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
redshift:DescribeStorage,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DeleteDeliverySource,CloudWatch Logs,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
lambda:CreateAlias,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:ListSessions,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:UpdateRole,IAM,IDENTITY,HIGH,9,"Can create, modify, or remove an identity or credential."
redshift:DescribePartners,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:ListFunctionUrlConfigs,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeOutpostLags,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyVpcEndpoint,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeleteIpamExternalResourceVerificationToken,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigateway:GetExport,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudtrail:CreateChannel,CloudTrail,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:DeleteStackSet,CloudFormation,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigateway:GetDocumentationParts,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
kms:DescribeKey,KMS,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:AssociateKmsKey,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetDataQualityRuleRecommendationRun,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ResetInstanceAttribute,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
guardduty:ListPublishingDestinations,GuardDuty,READ,LOW,2,Primarily reads or inspects AWS state/data.
athena:ListDataCatalogs,Athena,READ,LOW,2,Primarily reads or inspects AWS state/data.
dynamodb:BatchWriteItem,DynamoDB,OTHER,MEDIUM,5,Project-defined review required for this operation.
cloudformation:ListStackSets,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:RejectDomainNameAccessAssociation,API Gateway,OTHER,MEDIUM,5,Project-defined review required for this operation.
apigatewayv2:GetRoute,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:GetFunction,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeRegions,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:UpdateApiMapping,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:ExportTransitGatewayRoutes,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CreateRouteServer,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:ListEntitiesForPolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:GetEbsEncryptionByDefault,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:CreateTags,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:CreateClusterSubnetGroup,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudwatch:StopOTelEnrichment,CloudWatch,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
s3:WriteGetObjectResponse,S3,OTHER,MEDIUM,5,Project-defined review required for this operation.
kms:Sign,KMS,SECURITY_SENSITIVE,HIGH,8,Can expose or manipulate sensitive security material/access.
iam:RemoveClientIDFromOpenIDConnectProvider,IAM,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:ListClusterSchedulerConfigs,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:GetPackageVersionHistory,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:AttachVerifiedAccessTrustProvider,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:PromoteReadReplica,RDS,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:DescribeFpgaImageAttribute,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:CreateMaintenanceWindow,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetIntegrationTableProperties,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:GetVpnConnectionDeviceTypes,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:DeregisterCapability,OpenSearch,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:ModifyIpamPoolAllocation,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kms:GetKeyPolicy,KMS,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
opensearch:ListTags,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:UploadSSHPublicKey,IAM,OTHER,MEDIUM,5,Project-defined review required for this operation.
iam:DeleteSigningCertificate,IAM,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ecr:DeleteRepository,ECR,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sns:ListSubscriptionsByTopic,SNS,READ,LOW,2,Primarily reads or inspects AWS state/data.
route53:CreateHostedZone,Route 53,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
events:ListReplays,EventBridge,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DeleteCompilationJob,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DescribeTransitGatewayAttachments,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
kms:TagResource,KMS,TAGGING,LOW,3,Changes resource tags or metadata.
sagemaker:ListLineageGroups,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:GetModelPackageGroupPolicy,SageMaker,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
opensearch:GetCapability,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:GetMethodResponse,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ListActions,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteVpcEndpointServiceConfigurations,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
glue:GetColumnStatisticsTaskRun,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
athena:ListSessions,Athena,READ,LOW,2,Primarily reads or inspects AWS state/data.
events:ActivateEventSource,EventBridge,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:ListUsers,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
guardduty:DeleteIPSet,GuardDuty,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
athena:BatchGetNamedQuery,Athena,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:DeleteBucketMetadataTableConfiguration,S3,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
s3:ListBucketAnalyticsConfigurations,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteTransitGatewayClientVpnAttachment,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DescribeInternetGateways,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
kinesis:DisableEnhancedMonitoring,Kinesis,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
s3:GetBucketAnalyticsConfiguration,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ListImagesInRecycleBin,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:UpdateInferenceExperiment,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DeleteMlflowApp,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
iam:DetachUserPolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
s3:DeleteBucketLifecycle,S3,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
bedrock:GetProvisionedModelThroughput,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribeTransformJob,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudtrail:StopLogging,CloudTrail,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ec2:DescribeVpnGateways,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
dynamodb:ListBackups,DynamoDB,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:CreateCodeSigningConfig,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:SearchTables,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:GetCrawlers,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
guardduty:CreateDetector,GuardDuty,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DescribeEndpoint,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:DeleteTableOptimizer,Glue,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cognito-idp:ListUserImportJobs,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribeWorkforce,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ReleaseIpamPoolAllocation,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
dynamodb:ListTagsOfResource,DynamoDB,READ,LOW,2,Primarily reads or inspects AWS state/data.
eks:CreatePodIdentityAssociation,EKS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:StartJobRun,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:ListDomainNames,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
dynamodb:ExecuteStatement,DynamoDB,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:CreateModelQualityJobDefinition,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribePrefixLists,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:StopMonitoringSchedule,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
sagemaker:StopHyperParameterTuningJob,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
sagemaker:DeleteModelPackageGroupPolicy,SageMaker,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
redshift:RegisterNamespace,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:DetectStackDrift,CloudFormation,OTHER,MEDIUM,5,Project-defined review required for this operation.
sagemaker:DescribeAppImageConfig,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:CreateFlowDefinition,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetSecurityConfigurations,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:GetVpcLinks,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateVpnConnectionRoute,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
athena:CreateWorkGroup,Athena,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeTags,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:EnableVgwRoutePropagation,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:UpdateSecurityGroupRuleDescriptionsEgress,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:DescribeStackSet,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
route53:CreateVPCAssociationAuthorization,Route 53,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
lambda:GetDurableExecutionState,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:DescribeEntitiesDetectionJob,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ProvisionIpamPoolCidr,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeInstances,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sns:Subscribe,SNS,OTHER,MEDIUM,5,Project-defined review required for this operation.
ecr:GetDownloadUrlForLayer,ECR,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:AssociateIpamByoasn,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:CreateDBInstanceReadReplica,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
lambda:GetCapacityProvider,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
autoscaling:PutWarmPool,Auto Scaling,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetSchemaVersion,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ExportClientVpnClientConfiguration,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:RollbackServiceSoftwareUpdate,OpenSearch,OTHER,MEDIUM,5,Project-defined review required for this operation.
cloudwatch:PutCompositeAlarm,CloudWatch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:DescribeMaintenanceWindowSchedule,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:CompleteMultipartUpload,S3,OTHER,MEDIUM,5,Project-defined review required for this operation.
route53:ListHostedZones,Route 53,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateIpamScope,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
guardduty:UpdateFilter,GuardDuty,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeVpcEndpointConnectionNotifications,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeFlowLogs,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:UpdateMethod,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:CreateEdgeDeploymentPlan,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DeleteDBClusterParameterGroup,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ecs:DescribeServiceRevisions,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
sns:VerifySMSSandboxPhoneNumber,SNS,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:ReplaceRoute,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
sagemaker:ListTrainingPlans,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteTransitGatewayPrefixListReference,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:SendPipelineExecutionStepFailure,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:UntagResource,Bedrock,TAGGING,LOW,3,Changes resource tags or metadata.
iam:SimulateCustomPolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
rds:DeleteOptionGroup,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
s3:PutBucketPolicy,S3,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
